"Action","Akce"
"Add New Category","Přidat kategorii"
"Add New Comment","Přidat komentář"
"Add New Post","Přidat aktualitu"
"Advanced Options","Pokročilé nastavení"
"Advanced Post Options","Pokročilé nastavení aktualit"
"All comments will appear immediately without the need for approval by admin.","Všechny komentáře se objeví okamžitě baz nutnosti jejich schválení administrátorem."
"Approve","Schválit"
"Are you sure?","Jste si jist?"
"Auto Approve Comments","Automaticky schválit komentáře"
"Blog","Aktuality"
"Blog Comment Manager","Správce komentářů aktualit"
"Blog Manager","Správce aktualit"
"Blog Post Manager","Správce příspěvků aktualit"
"Blog Post Options","Možnosti příspěvků aktualit"
"Blog Settings","Nastavení aktualit"
"Blog Title","Titulek aktualit"
"Categories","Kategorie"
"Category","Kategorie"
"Category does not exist","Kategorie neexistuje"
"Category Information","Informace o kategorii"
"Category Manager","Správce kategorií"
"Change status","Změnit stav"
"click here","klikněte sem"
"Comment","Komentář"
"Comment Information","Informace o komentáři"
"Comment was approved","Komentář byl schválen"
"Comment was successfully deleted","Komentář byl úspěšně smazán"
"Comment was successfully saved","Komentář byl úspěšně uložen"
"Comment was unapproved","Komentář byl zamítnut"
"Comments","Komentáře"
"Comments are not enabled.","Komentáře nejsou povoleny."
"Comments will appear immediately without the need for approval by admin.","Komentáře se objeví okamžitě bez nutnosti jejich schválení administrátorem."
"Content","Obsah"
"Created","Vytvořen"
"Delete","Smazat"
"Delete Category","Smazat kategorii"
"Delete Comment","Smazat komentář"
"Delete Post","Smazat aktualitu"
"Description","Popis"
"Disabled","Zakázán"
"Email Address","E-mailová adresa"
"Edit","Upravit"
"Edit Category '%s'","Upravit kategorii '%s'"
"Edit Comment By '%s'","Upravit komentář od '%s'"
"Edit Post '%s'","Upravit aktualitu '%s'"
"eg: YYYY-MM-DD HH:MM:SS Leave blank to use current date","např.: RRRR-MM-DD HH:MM:SS. Pro použití aktuálního data nevyplňujte."
"Email","E-mail"
"Email Sender","Odesílatel e-mailu"
"Email Template","Šablona e-mailu"
