"Enable Permissions","Activer la gestion des droits"
"Permissions are currently disabled. To enable permissions, go to System > Configuration > Content Management > Clever CMS.","La gestion des droits est actuellement désactivée. Pour l'activer, allez dans Système > Configuration > Gestion de contenu > Clever CMS."
"An error occurred while saving permissions.","Une erreur est survenue lors de la sauvegarde des droits."
"Permissions have been successfully saved.","Les droits ont été enregistrés avec succès."
"Manage Content Permissions","Gestion des droits sur les pages de contenu"
"Save Permissions","Sauvegarder les droits"
"Pages Permissions","Liste des droits sur les pages de contenu"
"Choose Customer Group","Choisir un groupe utilisateur"
"Please confirm customer group switching. All data that hasn't been saved will be lost.","Veuillez confirmer le changement de groupe utilisateur. Les données non sauvegardées seront perdues."
"Permissions","Gérer les droits"
"Manage Content","Gérer le contenu"
"Manage Permissions","Gérer les droits"
"URL Key","Clé d'url"
"Include in Navigation Menu","Inclure dans le menu de navigation"
"Leave blank for automatic generation.<br />URL is relative to parent URL. Current URL: %s","Laissez vide pour génération automatique.<br />L'url est relative à l'url de la page parente. URL actuelle : %s"
"Set <em>clever</em> theme and <em>default</em> package to have an example of navigation","Activez le thème <em>clever</em> et le package <em>default</em> pour avoir un exemple de navigation"
"Create Permanent Redirect for URLs if URL Key Changed","Créer des redirections d'URL permanentes si celles-ci changent"
"Add Page", "Ajouter une page"
"Save Page", "Sauvegarder la page"
"Page Title","Titre de la page"
"Status","Statut"
"Yes","Oui"
"No","Non"
"Enabled","Activé"
"Disabled","Désactivé"
"Content","Contenu"
"Meta Data","Méta-données"
"Collapse All","Tout réduire"
"Expand All","Tout développer"
"Page Information","Informations de la page"
"Content Heading","En-tête du contenu"
"Show / Hide Editor","Afficher/masquer l'éditeur"
"Keywords","Mots-clés"
"Description","Description"
"Page Layout","Mise en page"
"Layout","Mise en page"
"Layout Update XML","XML de mise à jour d'agencement"
"Custom Design","Design personnalisé"
"Custom Design From","Design personnalisé à partir du"
"Custom Design To","Design personnalisé jusqu'au"
"Custom Layout","Agencement personnalisé"
"Custom Layout Update XML","XML de mise à jour de l'agencement personnalisé"
"Store View","Vue magasin"
"Edit Page '%s'","Modifier la page '%s'"
"New Page","Nouvelle page"
